rdfs:label,superclass,imicrobe label,mixs label,camera label,bco_dmo_short_name,hot_label,bco_dmo_definition
,chemical parameter,potassium,potassium,Potassium  (null),,,
,chemical parameter,potassiumk_um,potassium,Potassium(K)  (uM),,,
,chemical parameter,prasinoxanthin,,,prasinox,,
rubidium,chemical parameter,rubidiumrb_um,,Rubidium(Rb)  (uM),,,
,chemical parameter,salinity,,,sal,CTDSAL,
,chemical parameter,salinity,,,sal,SALNITY,
,chemical parameter,salinity_ppm,salinity or sample salinity,salinity  (ppm),,,
,chemical parameter,salinity_psu,salinity or sample salinity,salinity  (psu),,,
,chemical parameter,silicah4sio4_um_l,silicate,Silica(H4SiO4)  (uM/l),,,
silicate,chemical parameter,silicate,,,SiO4,,
,chemical parameter,silicate_umol_kg,silicate,Silicate  (͍mol/kg),,,
,chemical parameter,silicate_umol_kg,silicate,Silicate  (umol/kg),,,
,chemical parameter,siliconsi_um,silicate,Silicon(Si)  (uM),,,
silicone,chemical parameter,siliconsi_umol_l,,Silicon(Si)  (͍mol/l),,,
,chemical parameter,sodium,sodium,Sodium  (null),,,
,chemical parameter,sodium_um,sodium,Sodium  (uM),,,
strontium,chemical parameter,strontiumsr_um,,Strontium(Sr)  (uM),,,
,chemical parameter,sulfateso4_mm,sulfate,Sulfate(SO4)  (mM),,,
,chemical parameter,sulfateso4_um,sulfate,Sulfate(SO4)  (uM),,,
sulfide,chemical parameter,sulfide_um,,,,,
sulfur,chemical parameter,sulfurs2_um,,,,,
,chemical parameter,total_alkalinity,,,TALK,,
,chemical parameter,total_dissolved_nitrogen,,,TDN,,
,chemical parameter,total_dissolved_phosphorus,,,TDP,,
iron,chemical parameter,total_fe,,,,,
,chemical parameter,total_particulate_carbon,,,TPC,,
,chemical parameter,total_particulate_nitrogen,,,TPN,,
,chemical parameter,total_particulate_phosphorus,,,TPP,,
,chemical parameter,total_phaeopigment,,,phaeo,,
phosphorus,chemical parameter,total_phosphorus,,,,,
,chemical parameter,total_pigment,,,pig_tot,,
trace elements,chemical parameter,trace_elements,,,,,
tungsten,chemical parameter,tungstenw_um,,Tungsten(W)  (uM),,,
urea,chemical parameter,urea,,,,,
,chemical parameter,urea_umol_l,turbidity,Urea  (͍mol/l),,,
vanadium,chemical parameter,vanadiumv_um,,Vanadium(V)  (uM),,,
,chemical parameter,violaxanthin,,,violax,,
,chemical parameter,zeaxanthin,,,zeax,,
zinc,chemical parameter,zinczn_um,,Zinc(Zn)  (uM),,,
,environmental parameter,depth_bottom,,,depth_bottom,,
,environmental parameter,depth_max,,,depth_max,,
,environmental parameter,growth_medium,,,,,
,environmental parameter,isolation,isolation and growth condition,Isolation,,,
,environmental parameter,isolation_method,,,,,
,environmental parameter,modifications_to_growth_medium,,,,,
,environmental parameter,other_environmental_metadata_available,,,,,
,environmental parameter,sigma_t_density,,,sigma_t,SIGMA,
,environmental parameter,sigma_theta,,,THETA,THETA,
,environmental parameter,soil_type,soil type,Soil Type,,,
,environmental parameter,water_depth,,water depth,,,
,environmental parameter,water_depth_m,water_depth,water depth  (m),,,
,environmental parameter,wave_height_m,wave_height,wave height  (m),,,
,environmental parameter,wave_height_m,wave_height,water depth  (M),,,
,habitat,current_land_use,current land use,Current Land Use,,,
,habitat,envo_term_for_habitat_primary_term,,,,,
,habitat,envo_term_for_habitat_secondary_term,,,,,
,habitat,habitat,,,,,
,habitat,habitat_description,,,,,
,habitat,habitat_name,,HABITAT_NAME,,,
,habitat,other,,Other habitat  (null),,,
,habitat,other_habitat,,Other habitat,,,
,location,altitude,,ALTITUDE,,,
altitude,location,altitude_m,,Altitude  (m),,,
,location,country,,,,,
country,location,country_name,,COUNTRY_NAME,,,
,location,cruise_name,,,cruise_name,,
,location,cruiseid,,,cruiseid,cruise_id,
,location,depth,,,depth,,
,location,elevation,,,,,
,location,latitude,,LATITUDE,lat,,
,location,longitude,,LONGITUDE,lon,,
,location,other_collection_site_info,,,,,
,location,region,,REGION,,,
,location,sample_collection_site,,,,,
,location,sample_depth,sample_depth,sample depth,,,
,location,sample_depth_m,sample_depth,sample depth  (M),,,
,location,sample_depth_m,sample_depth,sample depth  (m),,,
,location,site_depth,,SITE_DEPTH,,,
,location,site_description,,SITE_DESCRIPTION,,,
,location,site_name,,SITE_NAME,,,
,location,soil_depth_m,soil_depth,Soil Depth  (m),,,
,miscellaneous parameter,additional_citations,,,,,
SKIP,miscellaneous parameter,annotations_file,,,,,
SKIP,miscellaneous parameter,cds_file,?,,,,
,miscellaneous parameter,clonal,,,,,
,miscellaneous parameter,collection_date,,,,,
,miscellaneous parameter,collection_start_time,,COLLECTION_START_TIME,,,
,miscellaneous parameter,collection_stop_time,,COLLECTION_STOP_TIME,,,
,miscellaneous parameter,collection_time,,,,,
comments,miscellaneous parameter,comment,,Comment,,,
,miscellaneous parameter,comments,,COMMENTS,,,
,miscellaneous parameter,date_of_experiment,,,date,,
,miscellaneous parameter,description,,DESCRIPTION,,,
SKIP,miscellaneous parameter,doc,,,,,
,miscellaneous parameter,external_sample_id,,,,,
,miscellaneous parameter,filter_fraction_maximum,,,,,
,miscellaneous parameter,filter_fraction_minimum,,,,,
,miscellaneous parameter,filter_max,,FILTER_MAX,,,
,miscellaneous parameter,filter_min,,FILTER_MIN,,,
,miscellaneous parameter,filter_type,filter type,Filter Type,,,
,miscellaneous parameter,filter_type,filter type,Filter Type  (null),,,
,miscellaneous parameter,filter_type_m,filter type,Filter Type  (M),,,
flourine,miscellaneous parameter,flourine,,Fluorine(F)  (uM),,,
SKIP,miscellaneous parameter,importance,delete?,,,,
,miscellaneous parameter,investigation_type,,,,,
,miscellaneous parameter,material_acc,source_mat_id,MATERIAL_ACC,,,
source_mat_id,miscellaneous parameter,material_id,,MATERIAL_ID,,,
SKIP,miscellaneous parameter,mmetsp_id,,,,,
,miscellaneous parameter,number_of_stations_sampled,move to project,number of stations sampled,,,
,miscellaneous parameter,other_experimental_metadata_available,,,,,
SKIP,miscellaneous parameter,pi,,,,,
,miscellaneous parameter,primary_citation,,,,,
,miscellaneous parameter,principle_investigator,,,,,
,miscellaneous parameter,project_id,,,,,
,miscellaneous parameter,quality_code,,,q_code,,
SKIP,miscellaneous parameter,reads_file,,,,,
SKIP,miscellaneous parameter,rrna_16s,,,,,
SKIP,miscellaneous parameter,rrna_18s,,,,,
,miscellaneous parameter,sample_acc,source_mat_id,SAMPLE_ACC,,,
SKIP,miscellaneous parameter,sigma_kg_1000l,?,Sigma  (kg/1L),,,
,miscellaneous parameter,template_preparation_method,temperature,Template preparation method,,,
SKIP,miscellaneous parameter,theta_its_90,?,Theta  (ITS9),,,
SKIP,miscellaneous parameter,time_count,?,Time (count),,,
,miscellaneous parameter,time_hour,???,Time  (hour),,,
,miscellaneous parameter,treatment,,Treatment,,,
,miscellaneous parameter,volume_filtered,,,,,
volume,miscellaneous parameter,volume_filtered_l,,volume filtered  (L),,,
volume,miscellaneous parameter,volume_l,,volume  (L),,,
,miscellaneous parameter,volume_unit,,VOLUME_UNIT,,,
general weather,physical environment parameter,atmospheric_general_weather,,atmospheric/general weather,,,
,physical environment parameter,atmospheric_pressure_atm,pressure,atmospheric/pressure  (atm),,,
,physical environment parameter,atmospheric_wind_speed_m_s,wind speed,atmospheric/wind speed  (m/s),,,
